"mass","age","cores","RAM","color","power","evil"
115.67,61,20,168,"black","battery",1
92.16,52,14,152,"black","battery",0
102.88,57,24,152,"red","battery",0
105.92,27,18,128,"black","hydrogen",0
98.61,54,28,152,"red","propane",0
97.96,17,32,136,"blue","hydrogen",0
95.73,53,24,160,"red","battery",0
87.86,29,18,128,"blue","battery",0
115.97,30,20,144,"black","hydrogen",0
86.11,24,24,104,"black","propane",0
101.89,28,16,168,"black","hydrogen",0
87.97,29,NA,104,"black","propane",0
99.97,54,22,104,"black","propane",0
82.97,21,16,128,"red","battery",0
128.1,29,36,120,"red","propane",0
91.8,27,22,144,"blue","battery",0
96.79,55,20,128,"black","propane",0
118.66,26,22,176,"black","battery",0
109.52,53,24,112,"black","propane",0
100.49,25,20,136,"blue","hydrogen",0
95.51,60,20,120,"red","battery",0
95.78,58,14,112,"black","battery",0
86.86,31,26,128,"black","propane",0
106.8,27,26,120,"blue","propane",0
115.42,26,20,136,"blue","hydrogen",0
97.51,53,24,144,"red","propane",0
91.21,57,12,96,"black","battery",0
87.61,27,19,96,"blue","propane",0
103.13,66,22,104,"black","propane",0
103.17,51,20,152,"black","propane",0
111.97,51,22,168,"red","battery",0
102.26,28,24,160,"black","propane",0
111.42,63,20,96,"black","hydrogen",0
NA,28,24,144,"black","battery",0
98.3,23,22,104,"blue","battery",0
110.1,27,34,136,"red","propane",0
94.52,60,20,104,"black","battery",0
87.88,19,30,NA,"black","hydrogen",0
88.72,56,20,104,"black","propane",0
95.1,22,22,112,"black","battery",0
96.47,54,7,96,"red","hydrogen",0
108.4,25,18,144,"black","battery",0
100.87,57,8,120,"black","battery",0
91.57,25,18,128,"black","battery",0
108.84,52,24,152,"red","hydrogen",0
123.87,53,18,160,"black","battery",0
94.64,55,17,104,"black","propane",0
97.24,NA,16,112,"black","battery",0
85.3,57,12,128,"black","propane",1
110.1,27,24,120,"blue","battery",0
104.73,32,16,144,"black","battery",0
108.96,52,24,136,"black","propane",0
96.2,53,16,112,"blue","battery",0
89.63,24,30,112,"blue","propane",0
93.88,28,26,120,"blue","propane",0
109.26,52,24,152,"blue","battery",0
124.2,53,22,136,"blue","hydrogen",0
92.52,24,28,144,"blue","propane",0
106.15,28,18,128,"black","hydrogen",0
85.46,56,12,112,"blue","battery",0
106.64,26,30,168,"red","propane",0
109.57,57,18,NA,"black","battery",0
114.67,30,30,144,"blue","battery",0
100.88,54,26,128,"black","propane",0
89.54,30,18,112,"black","propane",0
109.66,23,24,160,"red","battery",0
92.74,26,20,NA,"blue","battery",0
101.71,61,18,144,"black","battery",0
79.16,16,NA,104,"red","propane",1
107.1,56,16,104,"black","hydrogen",0
101.84,27,26,136,"black","hydrogen",0
94.43,27,16,136,"black","battery",0
114.6,63,NA,120,"black","battery",0
100.86,29,20,128,"red","battery",0
83.95,57,10,112,"black","battery",0
96.68,22,NA,128,"blue","battery",0
118.71,55,20,160,"black","hydrogen",0
101.95,58,10,112,"blue","battery",0
95.87,25,20,144,"blue","battery",0
95.28,31,22,128,"blue","propane",0
NA,52,20,152,"black","battery",0
92.3,19,24,144,"blue","hydrogen",0
115.47,54,24,136,"black","propane",0
112.6,28,28,136,"black","hydrogen",0
103.05,54,22,144,"black","battery",0
109.57,25,34,136,"red","propane",0
101.42,29,26,NA,"black","battery",0
108.69,55,20,136,"black","battery",0
103.46,26,20,136,"red","battery",0
105.96,NA,26,136,"blue","battery",0
111.23,28,28,160,"red","battery",0
99.66,21,20,144,"blue","battery",0
94.68,11,30,112,"black","propane",0
92.9,57,4,136,"red","battery",1
101.53,28,18,136,"black","battery",0
85.89,57,16,112,"blue","battery",0
116.82,23,28,160,"red","hydrogen",0
84,59,NA,88,"blue","battery",0
94.46,26,22,128,"black","battery",0
96.66,25,22,120,"blue","battery",0
103.85,27,24,120,"blue","battery",0
110.68,26,32,128,"red","propane",0
95.32,53,18,128,"black","battery",0
109.46,26,25,152,"black","hydrogen",0
109.62,51,24,128,"black","battery",0
95.75,55,24,112,"black","propane",0
105.79,57,18,120,"black","hydrogen",0
104.97,28,24,120,"black","battery",0
108.28,21,26,120,"black","hydrogen",0
99.08,30,20,144,"black","hydrogen",0
97.46,57,20,96,"black","battery",0
96.08,23,26,120,"blue","battery",0
119.18,26,20,136,"black","hydrogen",0
85.23,58,20,120,"red","battery",0
96.78,53,16,136,"black","battery",0
101.94,31,18,112,"blue","battery",0
97.46,29,22,104,"black","battery",0
89.69,51,20,152,"black","battery",0
111.67,53,20,152,"black","hydrogen",0
104.66,22,22,160,"red","battery",0
109.89,27,24,128,"black","battery",0
106.24,61,16,104,"black","battery",0
94.58,25,20,152,"blue","battery",0
87.71,52,18,128,"red","battery",0
114.7,23,20,176,"blue","hydrogen",0
122.05,53,34,144,"red","propane",0
89.65,55,14,104,"red","hydrogen",0
113.57,57,18,136,"red","hydrogen",0
97.51,55,16,104,"black","hydrogen",0
95.45,NA,14,128,"black","hydrogen",0
107.57,31,20,168,"black","propane",0
101.77,20,26,120,"red","hydrogen",0
80.37,55,22,120,"black","propane",0
111.95,22,30,128,"red","battery",0
89.45,30,26,104,"blue","hydrogen",0
91.76,51,22,112,"black","battery",0
100.06,25,24,120,"black","battery",0
121.21,23,26,152,"blue","hydrogen",0
103.85,54,22,96,"black","hydrogen",0
117.06,27,24,160,"red","hydrogen",0
137.72,52,22,176,"blue","hydrogen",0
92.12,25,26,120,"black","battery",0
128.2,26,NA,216,"red","hydrogen",0
111.46,22,26,152,"black","hydrogen",0
99.34,59,20,128,"red","battery",0
100.85,51,20,128,"black","battery",0
96.52,54,18,NA,"black","battery",0
90.38,55,12,104,"black","battery",0
99.7,51,20,128,"black","battery",0
114.97,54,22,136,"red","battery",0
93.62,30,22,136,"red","battery",0
97.45,28,22,152,"blue","battery",0
102.09,22,22,NA,"black","battery",0
82.12,54,18,104,"black","battery",0
87.31,26,14,104,"red","battery",0
100.1,58,20,160,"black","propane",0
96.39,21,32,128,"blue","propane",0
114.14,23,32,152,"red","propane",0
105.49,24,28,96,"red","propane",0
82.5,20,18,120,"blue","propane",0
97.95,24,28,NA,"blue","battery",0
98.72,53,30,104,"black","propane",0
105.55,24,18,144,"red","battery",0
106.78,58,20,120,"black","propane",0
97.31,56,20,120,"black","battery",0
93.51,30,16,112,"blue","propane",0
98.99,18,22,120,"black","battery",0
120.73,65,20,NA,"black","hydrogen",0
133.08,30,28,136,"black","hydrogen",0
NA,32,14,152,"red","hydrogen",0
109.23,23,28,144,"blue","battery",0
107.88,59,20,80,"black","battery",0
110.71,22,24,144,"black","battery",0
92.04,30,14,128,"black","battery",0
116.06,25,24,136,"black","battery",0
107.81,NA,22,152,NA,NA,0
83.95,28,24,112,"black","battery",0
90.4,29,16,128,"red","battery",0
78.26,27,18,128,"red","propane",0
96.72,23,18,112,"black","hydrogen",0
94.57,51,18,96,"black","battery",0
96.83,NA,12,144,"blue","battery",0
97.49,52,16,152,"black","battery",0
92.96,29,20,112,"red","battery",0
141.44,28,35,152,"black","hydrogen",0
106.92,59,28,152,"black","battery",0
99.54,53,20,104,"black","battery",0
101.68,20,32,136,"red","propane",0
92.69,58,NA,112,"red","battery",0
100.36,30,24,144,"black","hydrogen",0
86.58,27,18,136,"blue","battery",0
100.31,27,34,160,"red","propane",0
96.72,55,18,136,"red","propane",0
91.43,24,22,144,"black","hydrogen",0
120.92,23,26,168,"blue","battery",0
121.79,27,28,152,"blue","hydrogen",0
103.77,30,22,160,"black","battery",0
123.09,20,40,144,"black","hydrogen",0
113.31,19,24,NA,"black","battery",0
97.82,30,24,152,"red","propane",0
121.26,NA,18,168,"blue","hydrogen",1
103.75,24,30,144,"blue","propane",0
87.49,23,23,136,"red","battery",0
92.33,20,26,144,"blue","propane",0
111.47,24,25,112,"red","hydrogen",0
79.49,26,18,72,"black","battery",0
114.44,34,27,144,"blue","hydrogen",0
NA,22,22,120,"black","battery",0
88.04,31,14,104,"blue","battery",0
111.55,27,24,112,"blue","propane",0
109.02,24,20,152,"blue","battery",0
116.45,24,24,184,"black","battery",0
NA,26,18,120,"black","battery",0
100.05,26,22,104,"red","battery",0
118.17,53,26,136,"black","battery",0
107.44,62,12,120,"black","propane",0
102.19,57,20,120,"black","hydrogen",0
88.95,NA,22,120,"red","propane",0
91.65,31,16,96,"black","propane",0
101.15,25,24,NA,"blue","battery",0
106.38,53,18,136,"red","battery",0
126.06,52,30,136,"red","battery",0
84.2,55,16,152,"black","battery",0
107.27,32,18,136,"red","hydrogen",0
99.04,56,16,136,"red","hydrogen",0
83.56,21,16,168,"blue","battery",0
85.98,23,18,152,"red","battery",0
108.13,52,22,128,"blue","propane",0
111.66,17,34,144,NA,NA,0
105.11,17,32,128,"red","propane",0
100.71,24,22,168,"black","battery",0
101.63,27,22,NA,"red","battery",0
96.33,64,22,96,"black","battery",0
105.99,26,34,152,"red","propane",0
109.59,27,24,128,"blue","battery",1
95.29,55,26,120,"black","hydrogen",0
92,57,14,128,"black","battery",0
NA,31,26,96,"black","hydrogen",0
86.08,28,18,120,"black","propane",0
103.96,30,23,96,"blue","hydrogen",0
107.82,29,20,128,"black","battery",0
105.94,24,32,160,"red","propane",0
NA,52,24,152,"black","propane",0
100.31,29,20,128,"black","battery",0
110.99,53,26,128,"blue","hydrogen",0
98.51,12,26,120,"blue","battery",1
104.99,25,30,136,"black","propane",0
85.39,15,32,128,"blue","propane",0
NA,21,32,160,"red","battery",0
101.83,52,28,128,"blue","propane",0
109.67,27,28,128,"blue","battery",0
94.5,50,18,104,"black","propane",0
99.84,63,16,136,"black","hydrogen",0
92.18,52,18,160,"red","battery",0
106.71,52,22,96,"black","hydrogen",0
98.82,NA,29,112,"black","propane",0
106.3,51,21,128,"red","battery",0
105.19,27,22,136,"blue","hydrogen",0
102.94,19,31,152,"black","propane",0
80.88,48,21,96,"black","battery",0
113.57,58,20,120,"black","hydrogen",0
95.96,26,20,128,"red","battery",0
82.57,57,21,80,"black","propane",0
108.24,29,22,144,"red","battery",0
102.17,28,14,176,"black","battery",0
84.16,27,16,120,"blue","battery",0
105.81,22,24,144,"black","hydrogen",0
91.45,50,22,128,"black","propane",0
98.58,30,22,104,"black","propane",0
101.08,50,26,144,"black","propane",0
124.4,56,24,136,"black","hydrogen",0
96.65,52,20,120,"black","hydrogen",0
89.78,53,22,112,"red","propane",0
129.64,52,26,144,"black","hydrogen",0
113.13,24,28,144,"red","propane",0
89.97,57,28,144,"red","propane",0
117,23,22,144,"blue","hydrogen",0
83.29,62,8,88,"black","battery",0
105.35,21,26,144,"blue","propane",0
102.31,26,22,120,"blue","battery",0
112.22,28,30,136,"blue","propane",0
117.57,29,22,176,"black","hydrogen",0
118.69,28,26,160,"red","battery",0
85.49,22,18,128,"black","battery",0
126.41,22,30,136,"blue","hydrogen",1
111.18,55,18,136,"black","hydrogen",0
91.59,61,16,104,"red","battery",0
105.03,26,26,128,"blue","battery",0
88.73,31,22,136,"black","battery",0
100.01,54,22,120,"black","hydrogen",0
112.33,24,18,176,"red","battery",0
81.82,27,26,128,"red","propane",0
105.56,19,26,144,"blue","propane",0
105.57,31,30,152,"blue","propane",0
102.15,58,13,128,"black","battery",0
106.83,54,24,104,"black","battery",0
107.62,28,20,128,"black","battery",0
95.59,24,22,152,"black","hydrogen",0
113.24,55,22,176,"red","battery",1
123.5,57,24,168,"black","hydrogen",0
93.11,61,8,152,"black","battery",1
114.97,30,20,136,"black","hydrogen",0
119.72,56,20,112,"red","hydrogen",0
NA,53,14,88,"red","battery",0
95.76,53,30,144,"black","propane",0
107.67,51,24,136,"black","battery",0
93.23,27,18,96,"blue","propane",0
101,55,28,136,"red","battery",0
99.13,23,24,112,"blue","propane",1
113.37,19,26,112,"red","hydrogen",0
105.47,66,14,136,"black","propane",0
117.45,22,20,184,"red","hydrogen",0
89.31,28,22,120,"black","battery",0
NA,49,16,112,"red","battery",0
119.44,33,24,128,"black","hydrogen",0
114.47,23,30,160,"red","hydrogen",0
85.14,NA,24,144,"red","battery",0
98.83,52,24,128,"black","propane",0
107.07,31,22,120,"blue","hydrogen",0
97.17,61,24,104,"black","hydrogen",0
107.43,53,22,136,"red","battery",0
112.46,29,28,160,"red","battery",0
84.95,54,22,96,"black","propane",0
99.46,59,16,112,"black","battery",0
105.84,31,18,168,"black","hydrogen",0
125.12,54,26,152,"black","hydrogen",0
104.58,21,28,136,"blue","propane",0
120.28,53,32,128,"red","propane",0
113.08,61,16,112,"black","hydrogen",0
109.79,32,18,136,"black","hydrogen",0
83.77,24,16,120,"black","propane",0
77.56,NA,18,88,"black","battery",0
91.54,54,12,128,"black","battery",0
91.86,25,20,136,"red","battery",0
106.51,55,14,160,"black","hydrogen",0
99.67,31,18,136,"black","battery",0
103.23,23,22,128,"black","battery",0
83.37,57,22,128,"black","propane",0
131.62,59,30,160,"black","hydrogen",0
110,59,18,136,"black","hydrogen",0
120.84,56,26,136,"red","propane",0
118.09,54,22,144,"black","battery",0
100.76,32,20,88,"blue","battery",0
85.12,54,18,120,"black","battery",0
85.75,29,26,112,"black","propane",0
95.59,23,26,128,"blue","battery",0
93.32,56,12,128,"blue","battery",0
119.25,29,36,144,"red","propane",0
102.95,16,26,128,"red","battery",0
NA,54,14,144,"red","battery",0
91.26,24,26,88,"black","hydrogen",0
95,17,30,136,"blue","propane",0
111.79,27,21,168,"black","hydrogen",0
128.67,18,30,160,"red","hydrogen",0
86.68,53,17,120,"red","battery",0
94.96,20,28,136,"blue","propane",0
112.66,56,24,128,"blue","propane",0
106.5,52,20,144,"blue","battery",0
95.03,54,18,136,"black","battery",0
99.96,57,26,104,"black","propane",0
100.38,62,22,128,"black","battery",0
97.27,60,18,120,"black","battery",0
113.22,NA,20,NA,"black","battery",0
104.97,62,14,128,"blue","battery",0
91.99,34,20,120,"red","battery",0
102.52,60,20,120,"black","hydrogen",0
117.23,21,24,160,"black","hydrogen",0
105.83,59,22,120,"black","battery",0
90.12,25,20,112,"blue","battery",0
107.41,54,28,112,"red","battery",0
101.23,56,22,128,"black","hydrogen",0
107.4,57,18,128,"black","battery",0
105,24,24,168,"black","battery",0
100.52,NA,22,96,"blue","hydrogen",0
89.34,30,22,128,"red","propane",0
118.5,18,29,136,"red","hydrogen",0
107,25,27,160,"black","battery",0
95.17,61,20,120,"black","propane",0
105.6,58,18,136,"black","propane",0
100.67,21,22,144,"red","battery",0
111.16,27,26,136,"black","propane",0
118,31,28,168,"red","propane",0
90.07,51,14,128,"black","battery",0
103.4,23,20,160,"red","battery",1
121.7,27,NA,136,"black","battery",0
95.58,31,24,144,"black","propane",0
116.13,30,24,136,"red","hydrogen",0
99.4,20,26,128,"black","battery",0
101.93,28,27,136,"black","battery",0
109.24,23,24,136,"black","hydrogen",0
125.8,NA,26,136,"black","battery",0
88.5,31,24,128,"black","propane",0
102.6,24,30,160,"blue","battery",0
100.9,28,26,152,"black","propane",0
110.68,55,24,NA,"red","propane",0
111.12,53,24,168,"red","hydrogen",0
118.19,57,20,200,"red","battery",1
97.27,23,26,NA,"black","propane",0
113.06,22,30,152,"red","hydrogen",0
104.64,63,NA,112,"black","battery",0
111.2,56,20,128,"black","hydrogen",0
101.77,50,28,136,"black","battery",0
95.61,NA,18,160,"black","battery",0
104.52,26,22,120,"black","battery",0
103.12,52,16,128,"black","battery",0
102.94,61,26,120,"blue","propane",0
91.22,55,16,144,"black","propane",0
115.6,23,30,160,"red","hydrogen",0
120.42,25,27,144,"red","hydrogen",0
130.31,23,NA,144,"blue","hydrogen",0
120.49,30,26,152,"black","hydrogen",0
117.94,54,24,136,"black","hydrogen",0
103.98,18,32,136,"blue","propane",0
85.24,24,22,120,"blue","propane",0
104.67,28,20,112,"black","battery",0
121.89,11,30,152,"blue","battery",0
99.6,24,30,120,"black","battery",0
93.99,22,24,144,"red","propane",0
101.51,32,18,152,"black","battery",1
102.63,54,18,120,"black","battery",0
106.08,19,27,128,"blue","hydrogen",0
97.04,30,22,144,"red","battery",0
128.12,29,28,168,"black","hydrogen",0
96.9,15,24,184,"blue","battery",0
91.63,29,26,128,"black","propane",0
107.44,19,28,136,"blue","battery",0
109.13,50,26,128,"red","hydrogen",0
NA,27,28,168,"black","propane",0
115.61,32,18,136,"red","hydrogen",0
103.71,51,22,144,"red","propane",0
90.21,59,20,112,"red","propane",0
111.42,30,26,112,"blue","hydrogen",0
107.42,56,16,112,"black","hydrogen",0
99.51,26,NA,152,"black","battery",0
108.88,31,NA,136,"red","hydrogen",0
108.94,29,18,112,"black","battery",0
92.16,19,26,136,"blue","propane",0
105.11,59,18,136,"black","battery",0
107.83,32,16,160,"black","battery",0
93.29,64,14,104,"black","hydrogen",0
99.83,25,22,128,"blue","propane",0
110.28,20,26,136,"blue","hydrogen",0
87.45,22,22,136,"red","battery",0
107.64,22,26,NA,"blue","propane",0
107.58,NA,30,112,"red","propane",0
100.31,51,23,128,"black","battery",0
94.35,28,22,144,"red","battery",0
NA,53,24,176,"black","hydrogen",0
98.91,54,16,144,"black","battery",0
NA,54,22,120,"blue","battery",0
113.89,31,22,144,"black","hydrogen",0
116.75,32,28,144,"red","hydrogen",0
82.86,27,24,104,"black","propane",0
118.6,26,24,160,"red","propane",0
98.39,NA,24,128,"blue","propane",0
117.48,26,32,160,"black","hydrogen",0
101.95,28,28,152,"black","battery",0
98.8,55,16,120,"black","propane",0
116.52,55,20,120,"blue","battery",0
122.52,23,32,184,"black","battery",1
94.81,57,20,144,"blue","battery",0
88.5,60,18,112,"black","battery",0
116.24,33,24,136,"black","hydrogen",0
87.48,59,10,136,"black","battery",0
108.75,16,28,160,"blue","battery",0
110.91,61,22,128,"red","hydrogen",0
NA,57,22,128,"black","battery",0
93.29,57,24,144,"black","propane",0
90.26,53,24,128,"black","battery",0
92.97,56,18,136,"black","battery",0
87.49,25,24,136,"red","battery",0
115.28,30,26,136,"red","battery",0
119.2,21,24,144,"blue","battery",0
104.71,54,20,NA,"red","propane",0
107.51,57,20,128,"black","battery",0
89.42,31,24,128,"black","propane",0
113.7,28,20,152,"black","battery",0
106.38,22,18,136,"blue","hydrogen",0
100.91,62,14,96,"black","propane",0
128.68,57,28,152,"black","hydrogen",0
108.98,19,28,144,"blue","battery",0
94.58,32,20,160,"red","battery",0
106.27,53,20,160,"black","battery",0
109.31,51,20,120,"black","hydrogen",0
76.14,NA,10,112,"black","battery",0
117.44,49,28,120,"black","hydrogen",0
104.66,23,26,136,"black","hydrogen",0
101.59,33,26,160,"red","battery",0
104.16,20,24,128,"red","battery",1
100.7,52,24,144,"black","propane",0
108.55,27,12,152,"blue","battery",1
95.22,25,20,136,"black","hydrogen",0
90.29,63,12,136,"black","propane",0
110.33,56,22,128,"black","hydrogen",0
89.6,50,14,120,"blue","battery",0
93.42,64,14,96,"black","battery",0
101.68,22,30,120,"red","battery",0
97.38,NA,20,120,"black","propane",0
101.04,29,22,152,"black","propane",0
87.42,18,24,120,"blue","battery",0
96.02,30,20,144,"red","battery",0
118.59,56,20,128,"black","hydrogen",0
101.13,54,18,120,"black","battery",0
106.25,NA,26,144,"red","hydrogen",0
NA,58,8,96,"black","battery",0
104.05,57,22,136,"black","battery",0
115.37,30,26,160,"black","hydrogen",0
111.94,57,12,128,"red","hydrogen",0
89.42,59,16,112,"black","battery",0
NA,29,18,128,"black","battery",0
102.83,26,25,120,"red","battery",0
93.55,52,16,112,"black","battery",0
97.8,57,NA,136,"black","propane",0
96.52,53,16,120,"black","battery",0
112.77,25,40,136,"red","propane",0
107.72,27,27,144,"blue","battery",0
98.02,26,22,136,"black","battery",0
109.25,24,20,128,"blue","battery",0
104.57,55,28,160,"red","propane",0
92.93,29,20,112,"red","battery",0
106.82,29,29,152,"blue","hydrogen",0
120.51,54,24,144,"red","battery",0
109.76,24,24,176,"red","hydrogen",0
91.42,23,26,112,"red","propane",0
88.47,29,20,104,"blue","battery",0
100.69,54,26,152,"red","propane",0
133.42,26,30,160,"red","hydrogen",0
110.12,54,22,160,"blue","propane",0
104.45,61,26,80,"black","propane",0
105.85,26,22,168,"red","battery",0
92.49,53,24,128,"red","propane",0
96.08,30,22,120,"black","battery",0
107.68,57,24,80,"black","battery",0
100.83,52,26,128,"black","propane",0
103.36,29,18,160,"black","battery",0
95.1,21,18,128,"black","battery",0
81.72,23,22,104,"black","battery",0
114.45,57,18,152,"black","hydrogen",0
94.5,51,20,144,"black","battery",0
87.07,22,24,120,"red","propane",0
125.16,53,20,152,"black","hydrogen",0
104.33,28,28,144,"red","hydrogen",0
88.57,25,14,128,"red","battery",0
101.92,29,24,128,"black","battery",0
98.35,54,28,136,"red","battery",0
111.36,55,26,136,"red","hydrogen",0
107.57,25,26,136,"black","hydrogen",0
97,54,22,128,"black","battery",0
96.26,57,12,128,"black","propane",0
121.81,52,24,176,"blue","battery",1
93.86,54,20,152,"black","battery",0
98.82,63,20,104,"black","battery",0
103.58,24,26,NA,"blue","battery",0
88.02,56,14,120,"black","propane",0
96.17,20,28,152,"blue","propane",0
111.56,26,24,168,"blue","hydrogen",0
100.24,NA,22,152,"black","battery",0
93.84,50,24,128,"red","battery",0
112.27,29,24,128,"red","hydrogen",0
106.93,51,25,144,"black","propane",0
98.3,23,32,144,"red","battery",0
90.42,61,14,112,"black","propane",0
102.04,31,18,112,"red","propane",0
96.06,29,24,120,"blue","propane",0
104.34,28,16,152,"red","hydrogen",0
92.57,53,NA,152,"red","propane",0
90.46,29,14,112,"black","battery",0
104.99,18,24,120,"black","battery",0
97.53,28,22,112,"blue","battery",0
97.67,27,NA,120,"red","battery",0
98.86,57,18,128,"red","hydrogen",0
117.27,53,32,136,"red","propane",0
124.38,30,28,144,"blue","battery",0
104.68,54,20,160,"red","battery",0
110.68,56,14,112,"black","battery",0
95.76,53,18,112,"blue","battery",0
94.83,31,24,112,"blue","hydrogen",0
107,52,14,144,"black","hydrogen",0
87.84,26,26,120,"red","battery",0
109.53,24,26,152,"blue","propane",0
109.87,27,28,144,"black","battery",0
116.94,54,18,120,"blue","battery",0
97.79,58,12,120,"red","battery",0
104.98,54,12,136,"red","hydrogen",1
103.44,58,20,144,"red","hydrogen",0
96.13,53,12,136,"red","battery",0
95.77,28,18,120,"blue","propane",0
92.11,19,26,144,"black","propane",0
101.1,26,24,152,"blue","battery",0
105.82,24,24,120,"red","battery",0
87.53,12,26,136,"red","propane",0
121.92,52,28,128,"blue","propane",0
97.06,20,16,144,"blue","hydrogen",0
76.8,56,12,112,"black","propane",0
96.98,26,26,120,"red","battery",0
106.04,24,30,120,"black","battery",0
114.33,55,20,112,"black","hydrogen",0
NA,27,20,144,"red","hydrogen",0
105.73,58,8,128,"black","battery",0
112.56,27,32,128,"black","hydrogen",0
113.23,55,28,112,"black","hydrogen",0
108.83,23,36,152,"red","propane",0
NA,28,24,128,"black","battery",0
102.54,22,30,120,"blue","propane",0
126.5,25,30,136,"black","battery",0
110.13,19,16,136,"blue","battery",0
102.54,24,16,136,"blue","battery",0
97.98,24,22,160,"red","battery",1
104.83,NA,30,152,"blue","hydrogen",0
101.16,53,22,128,"black","battery",0
102.77,28,30,96,"black","battery",0
93.65,29,24,136,"black","propane",0
86.64,53,20,128,"red","battery",0
109.22,59,20,128,"black","hydrogen",0
116.55,24,24,136,"black","hydrogen",0
88.91,50,24,96,"red","battery",0
103.06,26,24,120,"blue","battery",0
102.31,30,20,136,"blue","propane",0
NA,20,22,112,"black","hydrogen",0
97.56,28,20,128,"black","battery",0
113.93,59,20,128,"red","battery",0
110.86,25,20,152,"blue","hydrogen",1
128.31,28,30,168,"black","hydrogen",0
100.86,23,22,136,"black","propane",0
99.78,49,16,96,"blue","battery",0
98.88,56,24,120,"blue","propane",0
87.13,23,22,104,"blue","battery",0
105.91,NA,30,152,"red","propane",0
111.57,52,20,128,"black","battery",0
109.25,29,22,128,"black","battery",0
103.06,53,18,136,"black","battery",0
110.1,27,30,144,"black","hydrogen",0
95.68,17,28,136,"blue","propane",0
101.36,21,28,144,"red","battery",0
102.04,56,22,120,"blue","hydrogen",0
91.67,31,26,104,"black","propane",0
98.25,26,20,152,"blue","battery",0
116.27,51,16,160,"black","battery",0
96.89,29,18,136,"black","battery",0
95.32,16,22,160,"blue","battery",0
112.99,63,14,144,"red","battery",0
112.28,24,22,112,"blue","hydrogen",0
74.01,21,18,120,"blue","battery",0
114.97,25,26,144,"red","battery",0
91.57,21,26,128,"red","battery",1
100.92,58,12,144,"red","battery",0
115.53,65,22,152,"black","propane",0
101.04,54,14,136,"red","battery",0
111.87,NA,24,176,"red","battery",0
100.19,52,16,120,"red","hydrogen",0
100.45,54,18,112,"black","hydrogen",0
99.9,25,26,104,"blue","propane",0
95.03,56,14,160,"black","propane",0
112.59,52,24,120,"black","battery",0
125.49,26,24,136,"black","hydrogen",0
117.28,30,32,168,"red","propane",0
116.27,29,30,176,"black","hydrogen",0
121.31,53,18,144,"black","hydrogen",0
97.99,50,26,112,"black","propane",0
104.63,56,16,104,"black","battery",0
103.18,25,18,160,"red","battery",0
96.69,25,24,144,"black","propane",0
111.17,25,30,128,"blue","hydrogen",0
108.5,27,22,160,"red","hydrogen",0
92.68,55,22,112,"black","battery",0
94.66,51,NA,120,"blue","battery",0
99.85,32,30,128,"blue","hydrogen",0
NA,51,22,120,"black","battery",0
107.62,29,26,136,"blue","hydrogen",0
114.13,65,14,144,"red","hydrogen",0
99.12,28,24,104,"blue","propane",0
94.73,57,24,120,"red","battery",0
98.01,24,20,144,"red","battery",0
110.4,53,28,152,"blue","battery",0
107.68,50,14,144,"black","battery",0
NA,60,18,136,"black","propane",0
110.1,52,NA,96,"black","battery",0
106.72,28,24,112,"black","battery",0
89.48,18,32,144,"black","hydrogen",0
98.19,53,26,112,"red","battery",0
108.23,25,26,128,"red","hydrogen",0
NA,26,28,120,"blue","hydrogen",0
98.5,22,26,96,"black","battery",0
90.96,24,20,80,"black","propane",0
92.46,23,22,112,"black","battery",0
106.86,51,23,144,"black","battery",0
109.31,29,22,128,"black","battery",0
103.62,54,20,NA,"red","hydrogen",0
102.91,28,22,88,NA,NA,0
104.88,28,21,144,"black","battery",0
126.57,27,30,144,"blue","propane",0
117.05,23,26,168,"red","hydrogen",0
86.4,52,18,96,"black","propane",0
96.37,25,22,128,"blue","propane",0
86.93,51,22,136,"black","propane",0
120.98,55,20,144,"blue","hydrogen",0
106.29,27,22,136,"blue","hydrogen",0
115.05,25,28,168,"black","battery",1
105.72,23,28,160,"black","hydrogen",0
NA,28,20,120,"black","hydrogen",0
114.79,18,NA,152,"blue","battery",0
119.94,54,22,144,"black","battery",0
84.56,27,14,104,"blue","battery",0
130.27,29,28,168,"black","hydrogen",0
99.72,7,30,120,"blue","battery",1
107.36,NA,24,168,"red","battery",0
117.35,21,32,160,"red","propane",0
113.55,15,28,160,"blue","hydrogen",0
119.31,25,22,160,"black","hydrogen",0
NA,22,26,152,"blue","battery",0
98.81,30,18,104,"blue","battery",0
103.47,15,24,160,"blue","battery",0
116.99,53,20,160,"red","hydrogen",0
98.12,51,22,104,"black","hydrogen",0
108.53,54,22,128,"black","hydrogen",0
110.47,29,26,120,"blue","battery",0
85.81,57,16,136,"red","battery",0
91.08,26,18,144,"black","battery",0
91.97,53,14,128,"black","propane",0
87.15,30,29,88,"black","battery",0
107.43,22,30,136,"blue","battery",0
92.08,54,26,128,"blue","propane",0
99.96,54,16,144,"red","battery",0
105.75,21,NA,128,"black","propane",0
117.37,25,28,136,"blue","hydrogen",0
109.68,53,NA,144,"red","hydrogen",0
78.38,NA,14,104,"blue","battery",0
84.37,57,18,144,"black","battery",0
109,33,22,168,"black","battery",0
108.49,52,22,128,"red","propane",0
133,54,22,168,"red","hydrogen",0
97.63,29,18,136,"red","battery",0
119.11,26,22,144,"red","battery",0
99.34,51,24,120,"blue","battery",0
